,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL
Date,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03,111.2869873046875,753.6699829101562,116.86000061035156,808.010009765625,116.1500015258789,753.6699829101562,116.86000061035156,808.010009765625,116.33000183105469,758.760009765625,117.83999633789062,811.4400024414062,114.76000213623047,747.7000122070312,115.51000213623047,796.8900146484375,115.80000305175781,757.9199829101562,116.02999877929688,800.6199951171875,28781900,3521100,20663900,1959000
2017-01-04,111.16243743896484,757.1799926757812,118.69000244140625,807.77001953125,116.0199966430664,757.1799926757812,118.69000244140625,807.77001953125,116.51000213623047,759.6799926757812,119.66000366210938,813.4299926757812,115.75,754.2000122070312,117.29000091552734,804.1099853515625,115.8499984741211,758.3900146484375,117.55000305175781,809.8900146484375,21118100,2510500,19630900,1515300
2017-01-05,111.72771453857422,780.4500122070312,120.66999816894531,813.02001953125,116.61000061035156,780.4500122070312,120.66999816894531,813.02001953125,116.86000061035156,782.4000244140625,120.94999694824219,813.739990234375,115.80999755859375,760.260009765625,118.31999969482422,805.9199829101562,115.91999816894531,761.5499877929688,118.86000061035156,807.5,22193600,5830100,19492200,1340500
2017-01-06,112.97330474853516,795.989990234375,123.41000366210938,825.2100219726562,117.91000366210938,795.989990234375,123.41000366210938,825.2100219726562,118.16000366210938,799.4400024414062,123.87999725341797,828.9600219726562,116.47000122070312,778.47998046875,120.02999877929688,811.5,116.77999877929688,782.3599853515625,120.9800033569336,814.989990234375,31751900,5986200,28545300,2017100
2017-01-09,114.0080795288086,796.9199829101562,124.9000015258789,827.1799926757812,118.98999786376953,796.9199829101562,124.9000015258789,827.1799926757812,119.43000030517578,801.77001953125,125.43000030517578,830.4299926757812,117.94000244140625,791.77001953125,123.04000091552734,821.6199951171875,117.94999694824219,798.0,123.55000305175781,826.3699951171875,33561900,3446100,22880400,1408900
2017-01-10,114.123046875,795.9000244140625,124.3499984741211,826.010009765625,119.11000061035156,795.9000244140625,124.3499984741211,826.010009765625,119.37999725341797,798.0,125.5,829.4099731445312,118.30000305175781,789.5399780273438,124.27999877929688,823.1400146484375,118.7699966430664,796.5999755859375,124.81999969482422,827.0700073242188,24462100,2558400,17324600,1197400
2017-01-11,114.73627471923828,799.02001953125,126.08999633789062,829.8599853515625,119.75,799.02001953125,126.08999633789062,829.8599853515625,119.93000030517578,799.5,126.12000274658203,829.9000244140625,118.5999984741211,789.510009765625,124.05999755859375,821.469970703125,118.73999786376953,793.6599731445312,124.3499984741211,826.6199951171875,27588600,2992800,18356500,1325400
2017-01-12,114.25719451904297,813.6400146484375,126.62000274658203,829.530029296875,119.25,813.6400146484375,126.62000274658203,829.530029296875,119.30000305175781,814.1300048828125,126.7300033569336,830.3800048828125,118.20999908447266,799.5,124.80000305175781,821.010009765625,118.9000015258789,800.3099975585938,125.61000061035156,828.3800048828125,27086200,4873900,18653900,1349500
